Application number,Applicant,Year of application,Patent system
US9707221B2,"KURA ONCOLOGY, INC.; LA JOLLA, CA",2017,USPTO
US9708266B2,KISSEI PHARMACEUTICAL CO,2017,USPTO
US9714419B2,ATYR PHARMA,2017,USPTO
US9717252B2,CORNELL UNIVERSITY,2017,USPTO
US9717804B2,PENNSYLVANIA STATE UNI,2017,USPTO
US9719064B2,BAYER,2017,USPTO
US9719080B2,DEPARTMENT OF HEALTH AND HUMAN SERVICES,2017,USPTO
US9732138B2,YALE UNIVERSITY,2017,USPTO
US9738693B2,NOVARTIS,2017,USPTO
US9751922B2,AIST,2017,USPTO
US9751923B2,UNIVERSITY OF WASHINGTON,2017,USPTO
US9751940B2,RSR LIMITED,2017,USPTO
US9758574B2,CHIBA UNIVERSITY,2017,USPTO
US9758790B2,LAND O'LAKES,2017,USPTO
US9758831B2,TEL HASHOMER MEDICAL RESEARCH INFRASTRUCTURE AND SERVICES LTD.; RAMAT-GAN,2017,USPTO
US9765126B2,VIRIDOS,2017,USPTO
US9766227B2,"BLOOM TECHNOLOGY CO., LTD.; TOKYO",2017,USPTO
US9770471B2,HARVARD MEDICAL SCHOOL,2017,USPTO
US9771598B2,EVOGENE,2017,USPTO
US9775785B2,ASTELLAS PHARMA INC ,2017,USPTO
US9777283B2,BIOPETROLIA AB; GOTEBORG,2017,USPTO
US9777287B2,LAND O'LAKES,2017,USPTO
US9783820B2,CORTEVA,2017,USPTO
US9783821B2,RIKEN,2017,USPTO
US9783852B2,SUMITOMO CHEMICAL,2017,USPTO
US9790506B2,UNIVERSITY OF CALIFORNIA,2017,USPTO
US9796971B2,UAB BALTYMAS,2017,USPTO
US9801853B2,FRED HUTCHINSON CANCER RESEARCH CENTER,2017,USPTO
US9803211B2,"J.R. SIMPLOT COMPANY; BOISE, ID",2017,USPTO
US9816080B2,HARVARD MEDICAL SCHOOL,2017,USPTO
US9816123B2,INRIA,2017,USPTO
US9816128B2,IMMUNEXPRESS,2017,USPTO
US9822385B2,AJINOMOTO,2017,USPTO
US9823250B2,MIT,2017,USPTO
US9827246B2,TAKEDA CHEMICAL INDUSTRIES LTD,2017,USPTO
US9828416B2,MODERNA,2017,USPTO
US9828609B2,INTERNATIONAL PARK OF CREATIVITY; BOGOTA,2017,USPTO
US9834779B2,SUMITOMO ELECTRIC INDUSTRIES,2017,USPTO
US9839698B2,EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,2017,USPTO
US9840542B2,"NOMADOGEN BIOTECHNOLOGIES INC.; CALGARY, ALBERTA",2017,USPTO
US9844541B2,"STRASSPHARMA, LLC; DELRAY BEACH, FL",2017,USPTO
US9845343B2,COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES,2017,USPTO
US9850298B2,MERCK,2017,USPTO
US9856533B2,"BIOTHERANOSTICS, INC. AND HARVARD MEDICAL SCHOOL; SAN DIEGO, CA; US;",2018,USPTO
US9857374B2,UNIV ARIZONA [US],2018,USPTO
US9857375B2,"PUBLIC UNIVERSITY CORPORATION NARA MEDICAL UNIVERSITY; KASHIHARA-SHI, NARA",2018,USPTO
US9873723B2,UNIVERSITY OF MELBOURNE,2018,USPTO
US9873893B2,DEPARTMENT OF HEALTH AND HUMAN SERVICES,2018,USPTO
US9878056B2,MODERNA,2018,USPTO
US9879234B2,BASF,2018,USPTO
US9879275B2,LAND O'LAKES,2018,USPTO
US9879283B2,THERMO FISHER SCIENTIFIC,2018,USPTO
US9889164B2,"SYNLOGIC, INC.; CAMBRIDGE, MA",2018,USPTO
US9890389B2,EVOGENE,2018,USPTO
US9890429B2,DANA FARBER CANCER INSTITUTE,2018,USPTO
US9896696B2,BENSON HILL BIOSYSTEMS,2018,USPTO
US9902980B2,GINKGO,2018,USPTO
US9909123B2,"TECHULON INC.; BLACKSBURG, VA",2018,USPTO
US9909185B2,THE NETHERLANDS CANCER INSTITUTE,2018,USPTO
US9913866B2,"SALK INSTITUTE FOR BIOLOGICAL STUDIES; LA JOLLA, CA",2018,USPTO
US9914907B2,LUMEN BIOSCIENCE,2018,USPTO
US9919031B2,UNIVERSITY OF ILLINOIS,2018,USPTO
US9920129B2,TOKYO UNIVERSITY,2018,USPTO
US9920323B2,"CATALENT, INC",2018,USPTO
US9920326B1,BAYER,2018,USPTO
US9924728B2,"PERFECT DAY, INC.; BERKELEY, CA",2018,USPTO
US9925243B2,"SALK INSTITUTE FOR BIOLOGICAL STUDIES; LA JOLLA, CA",2018,USPTO
US9938341B2,"STOWERS INSTITUTE FOR MEDICAL RESEARCH; KANSAS CITY, MO",2018,USPTO
US9938510B2,UNIVERSITY OF CALIFORNIA,2018,USPTO
US9944958B2,TOKIO INSTITUTE OF TECHNOLOGY,2018,USPTO
US9963674B2,MEMORIAL SLOAN-KETTERING CANCER CENTER (US),2018,USPTO
US9976157B2,EVOGENE,2018,USPTO
US9982272B2,VIRIDOS,2018,USPTO
US9994828B2,CORTEVA,2018,USPTO
US9994829B2,"IPROGEN BIOTECH, INC.; RICHMOND, B.C.",2018,USPTO
US9994907B2,"VERACYTE, INC",2018,USPTO
WO0023091A2,SCUDDER KURT MARSHALL (DK); THERMO FISHER SCIENTIFIC,2000,WIPO
WO0055192A2,LUIS BERNHARD,2000,WIPO
WO0055361A2,"SCHACKERT, HANS KONRAD (DE); HAHN, MATTHIAS (DE)",2000,WIPO
WO0061796A1,HEISIG PETER (DE); MERLIN GES FUER MIKROBIOLOGISC (DE); FUCHS GOMEZ YOLANDA (US),2000,WIPO
WO0070086A1,ENTERPRISE IRELAND (BIORESEARCH IRELAND),2000,WIPO
WO0075324A2,ARCH DEVELOPMENT CORPORATION (US),2000,WIPO
WO0107580A1,PROMEGA CORPORATION,2001,WIPO
WO0109296A,BAYER,2001,WIPO
WO0109347A2,AGILENT TECHNOLOGIES,2001,WIPO
WO0111024A2,UNIVERSITY OF CALIFORNIA,2001,WIPO
WO0114536A2,BIOSYN ARZNEIMITTEL GMBH (DE),2001,WIPO
WO0120030A2,CNRS,2001,WIPO
WO0121813A1,GENECOPOEIA,2001,WIPO
WO0123583A2,ROCHE DIAGNOSTICS,2001,WIPO
WO0123604A2,"BECTON, DICKINSON AND COMPANY",2001,WIPO
WO0127144A2,ACTIVE BIOTECH AB,2001,WIPO
WO0127150A2,TAKARA HOLDINGS,2001,WIPO
WO0130999A,EBARA CORPORATION,2001,WIPO
WO0132887A1,AGILENT TECHNOLOGIES,2001,WIPO
WO0132900A1,ACGT PROGENOMICS,2001,WIPO
WO0142211A2,UNIVERSITY OF CALIFORNIA,2001,WIPO
WO0142471A2,CELLDEX,2001,WIPO
WO0144447A1,GOVERNMENT OF CHINA,2001,WIPO
WO0149712A2,AKZO NOBEL N.V. (NL),2001,WIPO
WO0153494A,UNIVERSITY OF CALIFORNIA,2001,WIPO
WO0157242A2,VERTEX PHARMACEUTICALS,2001,WIPO
WO0159091A2,"METABOLIX, INC. (US)",2001,WIPO
WO0159128A,BASF,2001,WIPO
WO0162919A1,VERTEX PHARMACEUTICALS,2001,WIPO
WO0162942A2,LUDWIG INSTITUTE FOR CANCER RESEARCH,2001,WIPO
WO0167855A2,"DELTAGEN, INC. (US)",2001,WIPO
WO0168824A2,PROLUME LTD,2001,WIPO
WO0168829A2,ST. JUDE CHILDREN'S RESEARCH HOSPITAL (US); THE PRESIDENT AND FELLOWS OF HARVARD COLLEGE (US),2001,WIPO
WO0168865A2,AQUA HEALTH (EUROPE) LIMITED (GB),2001,WIPO
WO0171356A2,CNRS,2001,WIPO
WO0179458A2,NOVOZYMES,2001,WIPO
WO0179464A2,NOVOZYMES,2001,WIPO
WO0181614A2,CHEMICO INTERNATIONAL INC,2001,WIPO
WO0185664A2,PRINCETON UNIVERSITY,2001,WIPO
WO0185773A2,PRINCETON UNIVERSITY,2001,WIPO
WO0185971A,"PHYCOGEN, INC. (US)",2001,WIPO
WO0188186A2,INSTITUT PASTEUR,2001,WIPO
WO0190147A2,OREGON STATE (US),2001,WIPO
WO0190337A2,HOLOGIC INC,2001,WIPO
WO0192300A2,INSTITUT PASTEUR,2001,WIPO
WO0192567A2,MEDIGENE AG (DE),2001,WIPO
WO0196382A2,PROKAZYME,2001,WIPO
WO0198338A2,THERMO FISHER SCIENTIFIC,2001,WIPO
WO0203072A2,THERMO FISHER SCIENTIFIC,2002,WIPO
WO02057464A,BASF,2002,WIPO
WO02057465A,BASF,2002,WIPO
WO02059309A2,TAKARA HOLDINGS,2002,WIPO
WO02060163A2,ANDRESS DENNIS L (US),2002,WIPO
WO02060941A2,"ANTICANCER, INC. (US)",2002,WIPO
WO02063030A2,HOLOGIC INC,2002,WIPO
WO02063307A2,PFIZER,2002,WIPO
WO0206458A2,CHEMICO INTERNATIONAL INC,2002,WIPO
WO02070703A2,NUFARM,2002,WIPO
WO02070755A2,HOLOGIC INC,2002,WIPO
WO0207529A2,GOVERNMENT OF CHINA,2002,WIPO
WO02079468A2,LARGE SCALE BIOLOGY CORPORATION,2002,WIPO
WO02081668A,ABBOTT LABORATORIES,2002,WIPO
WO02083895A2,UNIVERSITY COLLEGE LONDON (GB); ROYAL HOLLOWAY AND BEDFORD NEW COLLEGE (GB),2002,WIPO
WO0208401A,ABBOTT LABORATORIES,2002,WIPO
WO0208459A2,UNIVERSITE D'AUVERGNE (FR); DIGESTAR (FR),2002,WIPO
WO02085936A1,GE HEALTHCARE,2002,WIPO
WO02088168A2,ASTRAZENECA AB,2002,WIPO
WO02088387A2,THE SECRETARY OF STATE FOR DEFENCE,2002,WIPO
WO0212459A2,BAYER,2002,WIPO
WO0212508A2,BAYER,2002,WIPO
WO0214361A2,ASTELLAS PHARMA INC ,2002,WIPO
WO0216601A2,"OMNIGENE BIOPRODUCTS, INC. (US)",2002,WIPO
WO0216944A2,PROMEGA CORPORATION,2002,WIPO
WO0220735A2,BASF,2002,WIPO
WO0220811A2,BASF,2002,WIPO
WO0224739A2,UNIVERSITY OF CALIFORNIA,2002,WIPO
WO0226784A2,AKZO NOBEL N.V. (NL),2002,WIPO
WO0226946A,BIORIGINAL FOOD & SCIENCE CORP. (CA),2002,WIPO
WO0229016A2,QIAGEN GMBH (DE),2002,WIPO
WO0230182A2,AQUABIO PRODUCTS,2002,WIPO
WO0230215A2,AQUABIO PRODUCTS,2002,WIPO
WO0230965A2,TAKARA HOLDINGS,2002,WIPO
WO0231144A2,MAX PLANCK SOCIETY,2002,WIPO
WO0231149A2,AQUABIO PRODUCTS,2002,WIPO
WO0231157A2,NORWEGIAN INST OF FISHERIES & (NO),2002,WIPO
WO0242469A1,BAYER,2002,WIPO
WO0242470A1,BAYER,2002,WIPO
WO0248343A2,"DELTAGEN, INC. (US)",2002,WIPO
WO0248706A2,MICHIGAN STATE UNIVERSITY,2002,WIPO
WO03000882A2,GSK PLC,2003,WIPO
WO03004659A2,BASF,2003,WIPO
WO03006497A2,CNRS,2003,WIPO
WO03012108A2,INSERM,2003,WIPO
WO03014161A2,UNIVERSITY OF ABERDEEN,2003,WIPO
WO03024999A2,NOVARTIS,2003,WIPO
WO03029286A1,GE HEALTHCARE,2003,WIPO
WO03029827A2,THERMO FISHER SCIENTIFIC,2003,WIPO
WO03030639A2,MARICAL,2003,WIPO
WO03035680A1,AKZO NOBEL N.V. (NL),2003,WIPO
WO03052108A2,BAYER,2003,WIPO
WO03054189A2,BASF,2003,WIPO
WO03057726A1,CHRISTIAN PETZELT,2003,WIPO
WO03060160A2,GENOMAR,2003,WIPO
WO03062270A2,"GURSKAYA, NADEJDA (RU)",2003,WIPO
WO03062271A1,UNIVERSITY OF ABERDEEN,2003,WIPO
WO03066858A1,OXFORD UNIVERSITY,2003,WIPO
WO03082912A2,THE UNIVERSITY OF YORK,2003,WIPO
WO03087386A2,BASF,2003,WIPO
WO03091442A1,INSERM,2003,WIPO
WO03093482A2,BASF,2003,WIPO
WO1998007848A,ASKA PHARMACEUTICAL,1998,WIPO
WO1998037187A,TAKARA HOLDINGS,1998,WIPO
WO1998056926A,TAKARA HOLDINGS,1998,WIPO
WO1999011797A,TAKARA HOLDINGS,1999,WIPO
WO1999027117A,TAKARA HOLDINGS,1999,WIPO
WO2000039288A,TAKARA HOLDINGS,2000,WIPO
WO2001009348A,TAKARA HOLDINGS,2001,WIPO
WO2002010360A,BIOMOLECULAR ENGINEERING RESEARCH INSTITUTE,2002,WIPO
WO2002016639A,TAKARA HOLDINGS,2002,WIPO
WO2002022831A,TAKARA HOLDINGS,2002,WIPO
WO2002024901A,TAKARA HOLDINGS,2002,WIPO
WO2002026963A,TAKARA HOLDINGS,2002,WIPO
WO2002036150A,"UMEDA JIMUSHO LTD,HOKKAIDO GOVERNMENT,KATSUNOBU SAKAI,MAKOTO HATAKEYAMA, KEIJI UMEDA,YOSHITAKA NADACHI,MASAHI",2002,WIPO
WO2002036822A,TAKARA HOLDINGS,2002,WIPO
WO2002052017A,KANEKA CORP,2002,WIPO
WO2002052029A,SEKISUI CHEMICAL,2002,WIPO
WO2002052043A,TAKARA HOLDINGS,2002,WIPO
WO2002062993A,TAKARA HOLDINGS,2002,WIPO
WO2002064833A,TAKARA HOLDINGS,2002,WIPO
WO2002072594A,"HAYASHIBARA BIOCHEMICAL LABORATORIES INC,HAJIME AGA,TAKANOBU HIGASHIYAMA, HIKARU WATANABE,TOMOHIKO SONODA,MICHIO KUBOTA",2002,WIPO
WO2002072819A,TAKARA HOLDINGS,2002,WIPO
WO2003004640A,OTSUKA PHARMACEUTICAL,2003,WIPO
WO2003016569A,TAKARA HOLDINGS,2003,WIPO
WO2003033693A,RIKEN,2003,WIPO
WO2003033702A,NICHIREI CORPORATION,2003,WIPO
WO2003042383A,TOYOBO CO LTD,2003,WIPO
WO2003071272A,TAKEDA CHEMICAL INDUSTRIES LTD,2003,WIPO
WO2003076613A,TRANSSCIENCE,2003,WIPO
WO2003102178A,TAKARA HOLDINGS,2003,WIPO
WO2003104460A,RIKEN,2003,WIPO
WO2003104461A,RIKEN,2003,WIPO
WO2004001422A2,EVOTEC,2003,WIPO
WO2004007732A1,BASF,2004,WIPO
WO2004008149A1,EVOTEC,2004,WIPO
WO2004017749A2,BASF,2004,WIPO
WO2004018671A,RIKEN,2004,WIPO
WO2004018673A2,B.R.A.I.N. BIOTECHNOLOGY RESEARCH AND INFORMATION NETWORK GMBH (DE),2004,WIPO
WO2004018693A2,BASF,2004,WIPO
WO2004018694A2,BASF,2004,WIPO
WO2004018695A2,BASF,2004,WIPO
WO2004018706A2,NSERC,2004,WIPO
WO2004020621A,TAKARA HOLDINGS,2004,WIPO
WO2004023879A1,PURATOS,2004,WIPO
WO2004024931A2,BASF,2004,WIPO
WO2004024933A2,BASF,2004,WIPO
WO2004029253A2,HELMHOLTZ ZENTRUM MUNCHEN DEUTSCHES FORSCHUNGSZENTRUM FUR GESUNDHEIT UND UMWELT (GMBH) (DE),2004,WIPO
WO2004035085A,KYUSHU TLO COMPANY LIMITED,2004,WIPO
WO2004044003A2,SANOFI,2004,WIPO
WO2004046192A2,LAY LINE GENOMICS SPA (IT),2004,WIPO
WO2004048973A,NISSHINBO INDUSTRIES,2004,WIPO
WO2004050875A,MARINE BIOTECHNOLOGY INST,2004,WIPO
WO2004050884A2,BOEHRINGER GROUP,2004,WIPO
WO2004052926A1,BAYER,2004,WIPO
WO2004055190A2,NOVARTIS,2004,WIPO
WO2004057001A2,UNIVERSITY OF BRISTOL,2004,WIPO
WO2004061097A2,ASTRAZENECA AB,2004,WIPO
WO2004061101A,ASTELLAS PHARMA INC ,2004,WIPO
WO2004064537A2,DU PONT,2004,WIPO
WO2004064987A2,DU PONT,2004,WIPO
WO2004065415A2,MAX PLANCK SOCIETY,2004,WIPO
WO2004067040A,KYUSHU TLO COMPANY LIMITED,2004,WIPO
WO2004070024A,RIKEN,2004,WIPO
WO2004071269A2,INTELLECTUAL PROPERTY CONSULTING INC. (JP),2004,WIPO
WO2004072275A2,TAKEDA CHEMICAL INDUSTRIES LTD,2004,WIPO
WO2004073319A2,"ANOSYS, INC. (US)",2004,WIPO
WO2004074487A1,DSM IP ASSETS BV,2004,WIPO
WO2004074498A2,"HAMILTON, STEPHEN R. (US); GERNGROSS, TILLMAN U. (US); WILDT, STEFAN (US); CHOI, BYUNG-KWON (US); NETT, JUERGEN HERMANN (US); BOBROWICZ, PIOTR (US)",2004,WIPO
WO2004076617A2,BASF,2004,WIPO
WO2004078962A1,CNRS,2004,WIPO
WO2004078976A1,CNRS,2004,WIPO
WO2004083251A2,PFIZER,2004,WIPO
WO2004087902A2,UNIVERSITY OF BRISTOL,2004,WIPO
WO2004090127A,MEXT,2004,WIPO
WO2004092211A1,ABCAM,2004,WIPO
WO2004092221A,SEKISUI CHEMICAL,2004,WIPO
WO2004096859A,SEKISUI CHEMICAL,2004,WIPO
WO2004096860A,SEKISUI CHEMICAL,2004,WIPO
WO2004097018A,SEKISUI CHEMICAL,2004,WIPO
WO2004101826A2,PRINCETON UNIVERSITY,2004,WIPO
WO2004111214A1,DSM IP ASSETS BV,2004,WIPO
WO2004111235A,RIKEN,2004,WIPO
WO2004111236A,RIKEN,2004,WIPO
WO2005000318A2,"NEOPHARM, INC. (US)",2005,WIPO
WO2005000885A1,BAYER,2005,WIPO
WO2005004894A2,"EXPRESSIVE CONSTRUCTS, INC. (US)",2005,WIPO
WO2005004898A,JST,2005,WIPO
WO2005005473A1,IMPERIAL COLLEGE INNOVATIONS LIMITED (GB),2005,WIPO
WO2005007150A2,BAR-ILAN UNIVERSITY (IL),2005,WIPO
WO2005010047A2,INSERM,2005,WIPO
WO2005012316A2,BASF,2005,WIPO
WO2005014629A2,NOVARTIS,2005,WIPO
WO2005014828A2,BASF,2005,WIPO
WO2005017144A,TAKARA HOLDINGS,2005,WIPO
WO2005019252A2,"UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INC. (US)",2005,WIPO
WO2005019460A2,BASF,2005,WIPO
WO2005019461A2,BASF,2005,WIPO
WO2005019467A1,BASF,2005,WIPO
WO2005021762A2,ORF LIFTAEKNI EHF. (IS),2005,WIPO
WO2005021764A2,ORF LIFTAEKNI EHF. (IS),2005,WIPO
WO2005024010A1,ILLUMINA CAMBRIDGE LTD [GB] LIMITED (GB),2005,WIPO
WO2005026365A1,PROKAZYME,2005,WIPO
WO2005030186A2,UNIV MARYLAND BIOTECH INST [US],2005,WIPO
WO2005030255A,"DAIICHI SANKYO COMPANY, LIMITED; TOKYO",2005,WIPO
WO2005030947A2,EVOTEC,2005,WIPO
WO2005030948A,TAKARA HOLDINGS,2005,WIPO
WO2005031362A2,RAMOT AT TEL AVIV UNIVERSITY LTD. (IL),2005,WIPO
WO2005031363A1,THE UNIVERSITY OF CHICAGO,2005,WIPO
WO2005035558A2,"THIRY, MICHEL",2005,WIPO
WO2005037392A2,CNRS,2005,WIPO
WO2005038017A2,BAYER,2005,WIPO
WO2005040367A1,BAXTER INTERNATIONAL,2005,WIPO
WO2005040370A2,GOLDSCHMIDT,2005,WIPO
WO2005047318A1,ASTRAZENECA AB,2005,WIPO
WO2005054508A2,QIAGEN GMBH (DE),2005,WIPO
WO2005054511A,DAIKIN INDUSTRIES,2005,WIPO
WO2005056782A2,"GENENCOR INTERNATIONAL, INC. (US); THE PROCTER & GAMBLE COMPANY (US)",2005,WIPO
WO2005063964A,SEKISUI CHEMICAL,2005,WIPO
WO2005066347A1,DU PONT,2005,WIPO
WO2005066351A2,DU PONT,2005,WIPO
WO2005069724A2,COMPUGEN LTD. (IL),2005,WIPO
WO2005080578A2,THE UNIVERSITY OF YORK,2005,WIPO
WO2005080584A,KANSAI TECHNOLOGY LICENSING ORGANIZATION CO LTD,2005,WIPO
WO2005083093A2,BASF,2005,WIPO
WO2005087916A2,PURATOS,2005,WIPO
WO2005090571A1,GRUENENTHAL GMBH (DE),2005,WIPO
WO2005090596A2,UNIVERSITE CATHOLIQUE DE LOUVAIN (BE); LA DEFENSE NATIONALE (BE),2005,WIPO
WO2005092383A,TAKEDA CHEMICAL INDUSTRIES LTD,2005,WIPO
WO2005093085A1,UKHSA,2005,WIPO
WO2005093429A2,"POZZAN, TULLIO (IT); RIZZUTO, ROSARIO (IT); GIORGI, CARLOTTA (IT); BRINI, MARISA (IT); PINTON, PAOLO (IT)",2005,WIPO
WO2005096806A,TOKYO UNIVERSITY,2005,WIPO
WO2005097982A2,CELANESE CORPORATION),2005,WIPO
WO2005098012A,MITSUBISHI,2005,WIPO
WO2005098033A1,CELANESE CORPORATION,2005,WIPO
WO2005100991A2,BIOSENSE LABORATORIES AS (NO),2005,WIPO
WO2005106025A1,PLYMOUTH MARINE LABORATORY,2005,WIPO
WO2005110476A,"DAIICHI SANKYO COMPANY, LIMITED; TOKYO",2005,WIPO
WO2005111244A2,EXACT SCIENCES CORPORATION (US),2005,WIPO
WO2005112994A1,SCRIPPS RESEARCH INSTITUTE,2005,WIPO
WO2005113772A,RIKEN,2005,WIPO
WO2005118627A2,DEPARTMENT OF HEALTH AND HUMAN SERVICES (US),2005,WIPO
WO2005118633A2,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH (US),2005,WIPO
WO2005118814A2,EVOLVA,2005,WIPO
WO2005118815A,TAKARA HOLDINGS,2005,WIPO
WO2006003355A1,ASTON UNIVERSITY (GB),2006,WIPO
WO2006008099A2,BASF,2006,WIPO
WO2006011253A,AIST,2006,WIPO
WO2006012080A2,BAYER,2006,WIPO
WO2006012325A1,DU PONT,2006,WIPO
WO2006012326A1,DU PONT,2006,WIPO
WO2006013010A2,ARRAY(0X1406C2070),2006,WIPO
WO2006018211A1,DSM IP ASSETS BV,2006,WIPO
WO2006018512A1,UPL LIMITED,2006,WIPO
WO2006020269A2,UNIV ROCHESTER [US],2006,WIPO
WO2006020748A2,ABBOTT LABORATORIES,2006,WIPO
WO2006022343A,NINS,2006,WIPO
WO2006022947A1,"IDEA, INC. (US); UNIVERSITY OF CHILE (CL)",2006,WIPO
WO2006026451A2,"CHILDREN'S HOSPITAL, INC. (US)",2006,WIPO
WO2006030174A1,THE UNIVERSITY OF NEWCASTLE (GB),2006,WIPO
WO2006032297A1,CNRS,2006,WIPO
WO2006032477A1,HENKEL,2006,WIPO
WO2006035848A,EZAKI GLICO,2006,WIPO
WO2006037383A1,"THIRY, MICHEL",2006,WIPO
WO2006037947A1,THE UNIVERSITY OF YORK,2006,WIPO
WO2006040340A2,DSM IP ASSETS BV,2006,WIPO
WO2006043271A1,COMPUGEN LTD. (IL),2006,WIPO
WO2006043406A,JAPAN TOBACCO INC,2006,WIPO
WO2006051729A,MARINE BIOTECHNOLOGY INST,2006,WIPO
WO2006053565A2,NOVOZYMES,2006,WIPO
WO2006054333A,JAPAN TOBACCO INC,2006,WIPO
WO2006056468A1,BASF,2006,WIPO
WO2006059717A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2006,WIPO
WO2006061906A,NEC CORPORATION,2006,WIPO
WO2006063362A1,BRISTOL-MYERS SQUIBB COMPANY,2006,WIPO
WO2006063856A1,ROCHE DIAGNOSTICS,2006,WIPO
WO2006069710A1,BASF,2006,WIPO
WO2006069936A2,BASF,2006,WIPO
WO2006074233A2,THERMO FISHER SCIENTIFIC,2006,WIPO
WO2006074288A2,THERMO FISHER SCIENTIFIC,2006,WIPO
WO2006074802A1,SANOFI,2006,WIPO
WO2006076442A2,THE JOHNSON & JOHNSON,2006,WIPO
WO2006078011A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2006,WIPO
WO2006078039A1,AJINOMOTO,2006,WIPO
WO2006079295A,MASARYKOVA UNIVERZITA (CS),2006,WIPO
WO2006081976A1,BAYER,2006,WIPO
WO2006082992A,NIHON UNIVERSITY,2006,WIPO
WO2006083042A,TAKEDA CHEMICAL INDUSTRIES LTD,2006,WIPO
WO2006085411A,HOKKAIDO UNIVERSITY,2006,WIPO
WO2006087334A1,CNRS,2006,WIPO
WO2006093088A,NATIONAL UNIVERSITY OF CORPORATION HIROSHIMA UNIVERSITY,2006,WIPO
WO2006094161A2,CORTEVA,2006,WIPO
WO2006095769A,TAKARA HOLDINGS,2006,WIPO
WO2006097110A2,NOVOZYMES,2006,WIPO
WO2006097464A1,NOVOZYMES,2006,WIPO
WO2006098485A,TOKYO UNIVERSITY OF SCIENCE,2006,WIPO
WO2006098520A,TAKEDA CHEMICAL INDUSTRIES LTD,2006,WIPO
WO2006099451A2,UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY (US),2006,WIPO
WO2006100241A2,BASF,2006,WIPO
WO2006104200A,RIKEN,2006,WIPO
WO2006107813A2,YALE UNIVERSITY,2006,WIPO
WO2006112025A,JAPAN TOBACCO INC,2006,WIPO
WO2006112040A,JAPAN TOBACCO INC,2006,WIPO
WO2006112253A,JAPAN TOBACCO INC,2006,WIPO
WO2006117225A,SIGNALOMICS GMBH (AT),2006,WIPO
WO2006117694A,EVROGEN,2006,WIPO
WO2006123745A,AJINOMOTO,2006,WIPO
WO2006126589A,KYOWA HAKKO,2006,WIPO
WO2006128678A1,UNIVERSITAET REGENSBURG (DE); LUDWIG MAXIMILIANS UNIVERSITAET (DE),2006,WIPO
WO2006132350A,AIST,2006,WIPO
WO2006134277A1,INRA,2006,WIPO
WO2006134482A1,PFIZER,2006,WIPO
WO2007000972A,CELLFREE SCIENCE CO LTD,2007,WIPO
WO2007004654A,CELESTAR LEXICO-SCIENCES INC,2007,WIPO
WO2007004692A,OSAKA PREFECTURE,2007,WIPO
WO2007010740A,TAKARA HOLDINGS,2007,WIPO
WO2007011625A2,BASF,2007,WIPO
WO2007011736A2,BASF,2007,WIPO
WO2007017270A1,HELMHOLTZ ZENTRUM MUNCHEN DEUTSCHES FORSCHUNGSZENTRUM FUR GESUNDHEIT UND UMWELT (GMBH) (DE),2007,WIPO
WO2007017419A2,BASF,2007,WIPO
WO2007023163A1,NOVOZYMES,2007,WIPO
WO2007031184A2,EVONIK,2007,WIPO
WO2007033140A2,BRISTOL-MYERS SQUIBB COMPANY,2007,WIPO
WO2007042510A2,ROTHAMSTED,2007,WIPO
WO2007043635A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,WIPO
WO2007047520A1,PFIZER,2007,WIPO
WO2007050390A2,WISCONSIN ALUMNI RESEARCH FOUNDATION (US),2007,WIPO
WO2007050671A2,DU PONT,2007,WIPO
WO2007051832A1,UNIVERSITEIT GENT,2007,WIPO
WO2007054522A1,UNIVERSITEIT GENT,2007,WIPO
WO2007057207A1,TECHNICAL UNIVERSITY OF MUNICH,2007,WIPO
WO2007060116A2,BASF,2007,WIPO
WO2007060117A2,BASF,2007,WIPO
WO2007061742A1,DU PONT,2007,WIPO
WO2007061845A2,DU PONT,2007,WIPO
WO2007063024A2,BASF,2007,WIPO
WO2007069604A,HOKKAIDO UNIVERSITY,2007,WIPO
WO2007070609A2,DU PONT,2007,WIPO
WO2007080440A1,AVESTHA GEN,2007,WIPO
WO2007084531A2,PFIZER,2007,WIPO
WO2007085923A2,EVROGEN,2007,WIPO
WO2007088676A,KYOTO UNIVERSITY,2007,WIPO
WO2007090123A2,THE UNIVERSITY OF CHICAGO,2007,WIPO
WO2007091117A1,AVESTHA GEN,2007,WIPO
WO2007093776A2,BASF,2007,WIPO
WO2007093807A2,MORVUS TECHNOLOGY LTD. (GB),2007,WIPO
WO2007094391A,KWANSEI GAKUIN EDUCATIONAL FOUNDATION,2007,WIPO
WO2007096387A1,BASF,2007,WIPO
WO2007097778A2,NEW ENGLAND BIOLABS,2007,WIPO
WO2007099231A,CNRS,2007,WIPO
WO2007099737A,AIST,2007,WIPO
WO2007105305A,JAPAN TOBACCO INC,2007,WIPO
WO2007105321A,JAPAN TOBACCO INC,2007,WIPO
WO2007107807A1,AVESTHA GEN,2007,WIPO
